search_stage,evaluation_split,n_clusters,aggregation,model,model_display,estimator_class,n_features,threshold,accuracy,roc_auc,f1,precision,recall,best_epoch
coarse,val,70,std,mlp,Neural Network,TorchRegularizedHybridNetClassifier,70,0.5,0.5793269230769231,0.6091740786333084,0.5333333333333333,0.60790273556231,0.4750593824228028,3
coarse,val,70,std,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,70,0.5,0.5721153846153846,0.6158318451606937,0.5821596244131455,0.5754060324825986,0.5890736342042755,23
coarse,val,70,std,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,70,0.5,0.5961538461538461,0.6319850200253134,0.5882352941176471,0.6075949367088608,0.5700712589073634,19
coarse,val,70,median,mlp,Neural Network,TorchRegularizedHybridNetClassifier,70,0.5,0.671875,0.7384630499737042,0.676923076923077,0.6745283018867925,0.6793349168646081,29
coarse,val,70,median,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,70,0.5,0.6826923076923077,0.7402141812738757,0.6879432624113475,0.6847058823529412,0.6912114014251781,15
coarse,val,70,median,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,70,0.5,0.671875,0.7237142477359548,0.6706875753920386,0.6813725490196079,0.6603325415676959,17
coarse,val,70,sum,mlp,Neural Network,TorchRegularizedHybridNetClassifier,70,0.5,0.6634615384615384,0.7357005392097369,0.6759259259259259,0.6591422121896162,0.6935866983372921,26
coarse,val,70,sum,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,70,0.5,0.6923076923076923,0.7613606810340344,0.6908212560386473,0.7027027027027027,0.6793349168646081,26
coarse,val,70,sum,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,70,0.5,0.6574519230769231,0.7379486912749739,0.6697566628041715,0.6538461538461539,0.6864608076009501,17
coarse,val,90,mean,mlp,Neural Network,TorchRegularizedHybridNetClassifier,90,0.5,0.6694711538461539,0.7334408285220567,0.6737841043890866,0.6729857819905213,0.6745843230403801,20
coarse,val,90,mean,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,90,0.5,0.6706730769230769,0.7483109962954615,0.6857798165137615,0.6629711751662971,0.7102137767220903,7
coarse,val,90,mean,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,90,0.5,0.6646634615384616,0.7344868838531823,0.6674612634088201,0.6698564593301436,0.665083135391924,13
coarse,val,90,pca,mlp,Neural Network,TorchRegularizedHybridNetClassifier,90,0.5,0.6814903846153846,0.7554542249654685,0.6833930704898447,0.6875,0.6793349168646081,17
coarse,val,90,pca,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,90,0.5,0.6814903846153846,0.7541943351191406,0.7058823529411765,0.6625,0.7553444180522565,18
coarse,val,90,pca,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,90,0.5,0.6574519230769231,0.7322907455889406,0.6689895470383276,0.6545454545454545,0.684085510688836,11
coarse,val,90,max,mlp,Neural Network,TorchRegularizedHybridNetClassifier,90,0.5,0.6634615384615384,0.727106703423086,0.6690307328605201,0.6658823529411765,0.672209026128266,16
coarse,val,90,max,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,90,0.5,0.6694711538461539,0.7356080702301899,0.6634026927784578,0.6843434343434344,0.6437054631828979,10
coarse,val,90,max,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,90,0.5,0.6610576923076923,0.7360299599493731,0.6736111111111112,0.6568848758465011,0.6912114014251781,12
coarse,val,90,min,mlp,Neural Network,TorchRegularizedHybridNetClassifier,90,0.5,0.6730769230769231,0.7390814362744248,0.6807511737089202,0.6728538283062645,0.6888361045130641,13
coarse,val,90,min,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,90,0.5,0.6526442307692307,0.7194202194982402,0.6643437862950058,0.65,0.6793349168646081,11
coarse,val,90,min,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,90,0.5,0.6454326923076923,0.7312793661251452,0.6483909415971395,0.6507177033492823,0.6460807600950119,15
coarse,val,90,std,mlp,Neural Network,TorchRegularizedHybridNetClassifier,90,0.5,0.5853365384615384,0.6025972224630268,0.5724907063197026,0.5984455958549223,0.5486935866983373,6
coarse,val,90,std,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,90,0.5,0.5901442307692307,0.6244545775034531,0.5742821473158551,0.6052631578947368,0.5463182897862233,15
coarse,val,90,std,wide_deep_mlp,Wide+Deep Neural Network,TorchWideDeepNetClassifier,90,0.5,0.5829326923076923,0.6348053239014974,0.5893491124260355,0.5872641509433962,0.5914489311163895,13
coarse,val,90,median,mlp,Neural Network,TorchRegularizedHybridNetClassifier,90,0.5,0.6514423076923077,0.7274130069178355,0.6547619047619048,0.6563245823389021,0.6532066508313539,11
coarse,val,90,median,residual_mlp,Residual Neural Network,TorchResidualHybridNetClassifier,90,0.5,0.6598557692307693,0.7225063716906219,0.6634958382877527,0.6642857142857143,0.66270783847981,10
